year;director;genre;film;winner
2001;Stephen Daldry;;Billy Elliot;FALSE
2001;Ang Lee;;Crouching Tiger, Hidden Dragon;FALSE
2001;Steven Soderbergh;;Erin Brockovich;FALSE
2001;Ridley Scott;;Gladiator;FALSE
2001;Steven Soderbergh;;Traffic;TRUE
2002;Ron Howard;;A Beautiful Mind;TRUE
2002;Ridley Scott;;Black Hawk Down;FALSE
2002;Robert Altman;;Gosford Park;FALSE
2002;Peter Jackson;;The Lord of the Rings: The Fellowship of the Ring;FALSE
2002;David Lynch;;Mulholland Drive;FALSE
2003;Rob Marshall;;Chicago;FALSE
2003;Martin Scorsese;;Gangs of New York;FALSE
2003;Stephen Daldry;;The Hours;FALSE
2003;Roman Polanski;;The Pianist;TRUE
2003;Pedro Almodvar;;Talk to Her;FALSE
2004;Fernando Meirelles;;City of God;FALSE
2004;Peter Jackson;;The Lord of the Rings: The Return of the King;TRUE
2004;Sofia Coppola;;Lost in Translation;FALSE
2004;Peter Weir;;Master and Commander: The Far Side of the World;FALSE
2004;Clint Eastwood;;Mystic River;FALSE
2005;Martin Scorsese;;The Aviator;FALSE
2005;Clint Eastwood;;Million Dollar Baby;TRUE
2005;Taylor Hackford;;Ray;FALSE
2005;Alexander Payne;;Sideways;FALSE
2005;Mike Leigh;;Vera Drake;FALSE
2006;Ang Lee;;Brokeback Mountain;TRUE
2006;Bennett Miller;;Capote;FALSE
2006;Paul Haggis;;Crash;FALSE
2006;George Clooney;;Good Night, and Good Luck.;FALSE
2006;Steven Spielberg;;Munich;FALSE
2007;Alejandro Gonzlez Irritu;;Babel;FALSE
2007;Martin Scorsese;;The Departed;TRUE
2007;Clint Eastwood;;Letters from Iwo Jima;FALSE
2007;Stephen Frears;;The Queen;FALSE
2007;Paul Greengrass;;United 93;FALSE
2008;Julian Schnabel;;The Diving Bell and the Butterfly;FALSE
2008;Jason Reitman;;Juno;FALSE
2008;Tony Gilroy;;Michael Clayton;FALSE
2008;Joel Coen and Ethan Coen;;No Country for Old Men;TRUE
2008;Paul Thomas Anderson;;There Will Be Blood;FALSE
2009;David Fincher;;The Curious Case of Benjamin Button;FALSE
2009;Ron Howard;;Frost/Nixon;FALSE
2009;Gus Van Sant;;Milk;FALSE
2009;Stephen Daldry;;The Reader;FALSE
2009;Danny Boyle;;Slumdog Millionaire;TRUE
2010;James Cameron;;Avatar;FALSE
2010;Kathryn Bigelow;;The Hurt Locker;TRUE
2010;Quentin Tarantino;;Inglourious Basterds;FALSE
2010;Lee Daniels;;Precious: Based on the Novel 'Push' by Sapphire;FALSE
2010;Jason Reitman;;Up in the Air;FALSE
2011;Darren Aronofsky;;Black Swan;FALSE
2011;David O. Russell;;The Fighter;FALSE
2011;Tom Hooper;;The King's Speech;TRUE
2011;David Fincher;;The Social Network;FALSE
2011;Joel Coen and Ethan Coen;;True Grit;FALSE
2012;Michel Hazanavicius;;The Artist;TRUE
2012;Alexander Payne;;The Descendants;FALSE
2012;Martin Scorsese;;Hugo;FALSE
2012;Woody Allen;;Midnight in Paris;FALSE
2012;Terrence Malick;;The Tree of Life;FALSE
2013;Michael Haneke;;Amour;FALSE
2013;Benh Zeitlin;;Beasts of the Southern Wild;FALSE
2013;Ang Lee;;Life of Pi;TRUE
2013;Steven Spielberg;;Lincoln;FALSE
2013;David O. Russell;;Silver Linings Playbook;FALSE
2014;David O. Russell;;American Hustle;FALSE
2014;Alfonso Cuarn;;Gravity;TRUE
2014;Alexander Payne;;Nebraska;FALSE
2014;Steve McQueen;;12 Years a Slave;FALSE
2014;Martin Scorsese;;The Wolf of Wall Street;FALSE
2015;Alejandro G. Irritu;;Birdman or (The Unexpected Virtue of Ignorance);TRUE
2015;Richard Linklater;;Boyhood;FALSE
2015;Bennett Miller;;Foxcatcher;FALSE
2015;Wes Anderson;;The Grand Budapest Hotel;FALSE
2015;Morten Tyldum;;The Imitation Game;FALSE
2016;Adam McKay;;The Big Short;FALSE
2016;George Miller;;Mad Max: Fury Road;FALSE
2016;Alejandro G. Irritu;;The Revenant;TRUE
2016;Lenny Abrahamson;;Room;FALSE
2016;Tom McCarthy;;Spotlight;FALSE
2017;Denis Villeneuve;;Arrival;FALSE
2017;Mel Gibson;;Hacksaw Ridge;FALSE
2017;Damien Chazelle;;La La Land;TRUE
2017;Kenneth Lonergan;;Manchester by the Sea;FALSE
2017;Barry Jenkins;;Moonlight;FALSE
2018;Christopher Nolan;;Dunkirk;FALSE
2018;Jordan Peele;;Get Out;FALSE
2018;Greta Gerwig;;Lady Bird;FALSE
2018;Paul Thomas Anderson;;Phantom Thread;FALSE
2018;Guillermo del Toro;;The Shape of Water;TRUE
2019;Spike Lee;;BlacKkKlansman;FALSE
2019;Pawel Pawlikowski;;Cold War;FALSE
2019;Yorgos Lanthimos;;The Favourite;FALSE
2019;Alfonso Cuarn;;Roma;TRUE
2019;Adam McKay;;Vice;FALSE
2020;Martin Scorsese;;The Irishman;FALSE
2020;Todd Phillips;;Joker;FALSE
2020;Sam Mendes;;1917;FALSE
2020;Quentin Tarantino;;Once upon a Time...in Hollywood;FALSE
2020;Bong Joon Ho;;Parasite;TRUE
2021;Thomas Vinterberg;;Another Round;FALSE
2021;David Fincher;;Mank;FALSE
2021;Lee Isaac Chung;;Minari;FALSE
2021;Chlo Zhao;;Nomadland;TRUE
2021;Emerald Fennell;;Promising Young Woman;FALSE
2022;Kenneth Branagh;;Belfast;FALSE
2022;Ryusuke Hamaguchi;;Drive My Car;FALSE
2022;Paul Thomas Anderson;;Licorice Pizza;FALSE
2022;Jane Campion;;The Power of the Dog;TRUE
2022;Steven Spielberg;;West Side Story;FALSE
2023;Martin McDonagh;;The Banshees of Inisherin;FALSE
2023;Daniel Kwan and Daniel Scheinert;;Everything Everywhere All at Once;TRUE
2023;Steven Spielberg;;The Fabelmans;FALSE
2023;Todd Field;;Tr;FALSE
2023;Ruben stlund;;Triangle of Sadness;FALSE
